,Dept,Num,Name,Desc,Reqs
674,ATRN,7002,Protective Taping & Bracing,"Master of Science in Athletic Training majors only. 1 hrs. lecture; 2 hrs. lab. Select, fabricate, and/or customize prophylactic, assistive, and restrictive devices, materials, and techniques into the plan of care; including the following: durable medical equipment; orthotic devices; and taping, bracing, splinting, protective padding, and casting.", Acceptance into the program and current registration in ATRN 7000 and ATRN 7001
675,ATRN,7100,Athletic Training Clinical Practice I,"Master of Science Athletic Training majors only. Under direct preceptor supervision the athletic training student will be provided the opportunity to understand, demonstrate, and apply the broad base of knowledge, skills, abilities required of the athletic trainer in managing patient problems in assigned clinical rotations. Introduction to medical documentation. Review and competency-based demonstration of patient care skills, with an emphasis on: emergency medicine; protective taping/bracing; routine clinical practice skills.", ATRN 7000/ATRN 7001/ATRN 7002
676,ATRN,7101,Athletic Training Clinical Skills I,"Master of Science in Athletic Training majors only. 2 hrs. lecture; 2 hrs. lab. Essential clinical knowledge and skills for the athletic training profession, including but not limited to, measurement of vital signs, flexibility, resistance exercises, and assisted and self-stretching techniques.", ATRN 7000/ATRN 7001/ATRN 7002
677,ATRN,7102,Foundations of Patient Assessment,"Master of Science in Athletic Training majors only.  Designed to give the entry-level athletic training student in-depth instruction in: appropriate techniques of soliciting, organizing, and interpreting patient-specific medical information from patients of all ages, cultures, socioeconomic backgrounds and abilities; patient observation; surface topography/palpation skills; and other basic evaluation techniques.", ATRN 7000/ATRN 7001/ATRN 7002
678,ATRN,7103,Lower Extremity and Spine Orthopedic Evaluation,"Master of Science Athletic Training majors only. Specialized course in the initial on-field and clinical evaluation of orthopedic injuries and conditions of the lower extremities and the spine, including emergency care procedures, signs/symptoms, and treatment of various injuries/conditions.", ATRN 7000/ATRN 7001/ATRN 7002
679,ATRN,7104,Clinical Diagnostic Procedures,"Master of Science Athletic Training students only. Coreq.: ATRN 7500/ATRN 7501. This course presents the athletic training student with selected clinical diagnostic laboratory and imaging tests and with selected procedures practiced by athletic trainers. Clinical presentation, acute care, etiology, pathophysiology, clinical decision making for selecting appropriate tests or procedures, interpretation of diagnostic test results, appropriate referral and management of medical conditions is addressed. Students will use evidence-based research to appropriately gather, interpret, and manage objective diagnostic clinical data to manage various health problems across the lifespan.", ATRN 7400
680,ATRN,7200,Athletic Training Clinical Practice II,"Master of Science Athletic Training majors only. 1 hr. lecture; 2 hr. clinical. Under direct preceptor supervision the athletic training student will be provided the opportunity to: further understand, demonstrate, and apple the broad base of knowledge/skills/abilities required of the athletic trainer in managing patient problems in assigned clinical rotations; and apply previously acquired problem-solving skills in patient care. Review and competency-based demonstration of patient care skills, with an emphasis on: orthopedic assessment of the lower extremity and spine; exercise interventions; and clinical diagnostic procedures.", ATRN 7100
681,ATRN,7201,"Upper Extremity, Cervical Spine, Thorax, Head Orthopedic Evaluation","Master of Science Athletic Training majors only. Specialized course in the initial on-field and clinical evaluation of orthopedic injuries and conditions of the upper extremities, cervical spine, head and face; including emergency care procedures and sines/symptoms/treatment of various injuries/conditions.", ATRN 7000/ATRN 7001/ATRN 7002
682,ATRN,7202,Therapeutic Modalities,"Master of Science Athletic Training majors only. Coreq.: ATRN 7100/ATRN 7101/ATRN 7102/ATRN 7103.  Operational physics, physiological action, and clinical rationale/decision-making of various therapeutic agents used in physical rehabilitation settings. Application of various therapeutic agents such as light, sound, heat, cold, traction and compression will be addressed using an evidence-based problem-solving approach.", ATRN 7001/ATRN 7002
683,ATRN,7203,Therapeutic Rehabilitation,"Master of Science in Athletic Training majors only. Coreq.: ATRN 7200/ATRN 7201/ATRN 7403. Evidence-based concepts, principles, clinical application, and progression of appropriate therapeutic exercise interventions of patients across the lifespan to remediate musculoskeletal and neurological dysfunction.", ATRN 7100/ATRN 7103/ ATRN 7202
684,ATRN,7204,Primary Care Medicine,"Master of Science in Athletic Training majors only. Coreq.: ATRN 7200/ATRN 7201/ATRN 7403. Evaluation, clinical diagnosis, and management of general medical conditions using a systems based-approach. Pre-requisite and co-requisite knowledge of pathophysiology and clinical signs/symptoms utilized in performing a patient evaluation to: reach a clinical diagnosis, interpret laboratory and diagnostic results; and utilize clinical data in the management of medical problems.", ATRN 7000/ATRN 7102
685,ATRN,7300,Athletic Training Clinical Practice III,"Master of Science in Athletic Training majors only. Athletic Training majors must have met program requirements to enroll in this course. 1 hr. lecture; 2 hr. clinical. Under direct preceptor supervision the athletic training student will be provided the opportunity to understand, demonstrate, and apply the broad base of knowledge/skills/abilities required of the athletic trainer in managing patient problems during an intensive clinical rotation.", ATRN 7200
686,ATRN,7400,Athletic Training Clinical Practice IV,"Master of Science Athletic Training majors only. Athletic Training majors must have met program requirements to enroll in this course.  1 hr. lecture; 2 hr. clinical. Under direct preceptor supervision the athletic training student will be provided the opportunity to: demonstrate advanced understanding, application, and synthesis of the broad base of knowledge/skills/abilities required of the athletic trainer in managing patient problems in assigned clinical rotations; and apply previously acquired problem-solving skills with a focus on developing clinical decision-making and mid-level practitioner autonomy. Review and competency-based demonstration of patient care skills, with an emphasis on orthopedic assessment of upper extremity, cervical spine, thorax, and head; therapeutic rehabilitation interventions; and primary care medicine.", ATRN 7300
687,ATRN,7401,Management of Nutritional & Psychosocial Conditions,"Master of Science Athletic Training majors only. Coreq.: ATRN 7300/ATRN 7400. Clinical diagnosis, management and appropriate psychosocial intervention strategies and patient referral techniques specific to the role of an athletic trainer within  the broader context of primary care medicine. Introduction to classification of various psychosocial conditions and the multi-axial approach to patient assessment across the lifespan.", ATRN 7200
688,ATRN,7402,Principles of Healthcare Administration in Athletic Training,"Master of Science Athletic Training majors only.  An overview of administrative concepts and organization of health care facilities that provide athletic training services. Topics covered include: facility design, fiscal and human resource management, insurance and reimbursement, legal and ethical practices, and healthcare informatics.", ATRN 7200
689,ATRN,7403,Athletic Training Clinical Skills II,"Master of Science Athletic Training majors only.  Coreq.: ATRN 7200/ATRN 7203. 2 hrs. lecture; 2 hrs. lab. Acquisition, evaluation, synthesis, and application of advanced clinical skills in the prevention, clinical evaluation and diagnosis, immediate care and treatment, and rehabilitation and reconditioning of injuries and illnesses.", ATRN 7100
690,ATRN,7500,Athletic Training Clinical Practice V,"Master of Science Athletic Training majors only. Athletic Training majors must have met program requirements to enroll in this course. 1 hr. lecture; 2 hr. clinical. Under direct preceptor supervision the athletic training student will be provided the opportunity to: demonstrate advanced understanding, application, and synthesis of the broad base of knowledge/skills/abilities required of the athletic trainer in managing patient problems in assigned clinical rotations; and apply previously acquired problem-solving skills with a focus on developing clinical decision-making and mid-level practitioner autonomy. Review and competency-based demonstration of patient care skills, with an emphasis on: behavioral health conditions; healthcare administration; advanced clinical practice skills.", ATRN 7300
691,ATRN,7501,Integrating Medical Research into Athletic Training,"Master of Science Athletic Training majors only or permission of instructor. Current practices in the conduct of quantitative research, measurement, and evaluation processes applied to applied to athletic training and related healthcare professions will be examined. This course is designated as a capstone experience where students will have the opportunity to develop basic research skills based on the current evidence in sports medicine.", Students have completed ATRN 7400
692,ASTR,1101,The Solar System,Fundamental principles of the solar system., MATH 1021 or an ACT math score of at least 21
693,ASTR,1102,Stellar Astronomy,Fundamental principles of stellar astronomy., MATH 1021 or an ACT math score of at least 21
694,ASTR,1108,Astronomy Laboratory,2 hrs. lab. Visual observation of positions of celestial bodies with application to star charts and globes; visual and photographic observations will be made using telescopes; provides student with practical observing experience., credit or registration in ASTR 1101
695,ASTR,1109,Astronomy Laboratory,2 hrs. lab. Analysis of light from terrestrial and celestial sources; visual and photographic observations of stars and nebulae; training in the use of smaller telescopes and larger telescopes with multimedia technologies., credit or registration in ASTR 1102
696,ASTR,1401,Planetary Astrophyics,"Credit will not be give for this course and ASTR 1101. A quantitative survey of the physical and environmental properties of planets, the solar system and other planetary systems.", Credit or registration in MATH 1550 or MATH 1551
697,ASTR,1402,The Astrophysics of Stars & Galaxies,"Credit will not be given for this course and ASTR 1102. A quantitative survey of the physical properties of stars, nebulae, galaxies, and cosmology.", Credit or registration in MATH 1550 or MATH 1551
698,ASTR,4221,Introductory Astrophysics,"Sun, stars and stellar systems; results and problems of modern astrophysical research."," PHYS 1202 or PHYS 2112 and PHYS 2113, or consent of instructor"
699,ASTR,4222,Introductory Astrophysics,"Sun, stars and stellar systems; results and problems of modern astrophysical research.", ASTR 4221
700,ASTR,4261,Modern Observational Techniques,"1 hr. lecture; 6 hrs. lab. Modern astronomical observations and reductions; the telescope, astronomical photography, spectroscopic and photoelectric observations and reductions."," ASTR 1101, ASTR 1102 and MATH 1552"
701,ASTR,4750,Special Topics in Observational Astronomy,May be taken twice for credit when topics vary. One topic scheduled each time course is offered; current topics include astronomical spectroscopy and astronomical photometry.,No listed prerequisites
702,ASTR,4997,Problems in Astronomy,May be taken for a max. of 3 sem. hrs. of credit. Individual reading and theoretical and/or experimental work on advanced problems., consent of instructor
703,ASTR,7361,Astrophysics Laboratory,"Practical experience in modern observational techniques in astronomy, instruments, detectors, data analysis, and statistical methods. ",No listed prerequisites
704,ASTR,7741,Stellar Astrophysics,"Also offered as PHYS 7741. Application of physical principles to study of stars; spectroscopy, stellar atmospheres, stellar structure and stellar evolution.",No listed prerequisites
705,ASTR,7742,Stellar Astrophysics,," ASTR 7741 Application of physical principles to study of stars; spectroscopy, stellar atmospheres, stellar structure and stellar evolution"
706,ASTR,7751,Galactic Astrophysics,"Also offered as PHYS 7751. Application of physical principles to study of galaxies; interstellar medium, galactic structure and stellar motions, galaxies and cosmology.",No listed prerequisites
707,ASTR,7752,Galactic Astrophysics,," ASTR 7751 Application of physical principles to study of galaxies; interstellar medium, galactic structure and stellar motions, galaxies and cosmology"
708,ASTR,7777,Seminar in Astronomy and Astrophysics,Also offered as PHYS 7777. May be taken for a max. of 6 sem. hrs. of credit.,No listed prerequisites
709,ASTR,7783,Topics in Astronomy and Astrophysics,Also offered as PHYS 7783. May be taken for a max. of 6 hrs. of credit.,No listed prerequisites
710,BADM,5000,Business Administration Topics,May be taken for a max of six hrs. of credit when topics vary. Special topics in business.,No listed prerequisites
711,BADM,7000,Internship in Business Administration,"Pass-fail grading based on a written evaluation by the professional supervisor, a written report by the student and the faculty member’s evaluation. Open only to full-time MBA students. May be taken once for credit. 10 hrs. of learning experience (fall/spring); 20 hrs. (summer). General supervision by a faculty member; direct supervision by a business professional.", prior approval of MBA director
712,BADM,7010,Emerging Business Issues and Practices in a Global Economy,"Open only to students in the MBA program. Taken each semester of the MBA program. Course must be successfully completed four times prior to graduation. Exposure to the practice of business; a series of visits to area businesses, in conjunction with classroom experiences, to learn how managers and operations specialists in various industries cultivate, shape and exploit their companies’ resources to meet current and future global market needs.",No listed prerequisites
713,BADM,7020,Managerial Statistics,"Open only to students in the MBA program. An introduction to statistical thinking and overview of statistical methods used to analyze and interpret data, draw inferences and make decisions; topics include descriptive statistics, probability, sampling and sampling distributions, estimation, confidence intervals, hypothesis testing, linear regression, forecasting and control charting; emphasis on how to use spreadsheets to analyze data and how to interpret the results.",No listed prerequisites
714,BADM,7030,Financial Accounting,Composition of financial statements; information processing and reporting for the purpose of understanding accounting information; legal and ethical obligations of the accounting profession., Open only to students in the MBA program
715,BADM,7050,Information Systems,"Open only to students in the MBA program. Contemporary topics in information systems; a survey of information system analysis and design; introduction to business data communication, database management systems and knowledge based systems; enterprise-wide systems and information systems control.", ISDS 1100 or equivalent
716,BADM,7060,Elements of Cost Management,Open only to students in the MBA program. Understanding and applying cost management practices used in business today; development of costing and budgeting systems used for cost management; applications of analysis used in management decision making and control; cost-profit-volume analysis; analysis of variances between budgeted and actual cost; methods of evaluating responsibility centers based upon profitability measures., BADM 7030
717,BADM,7070,Understanding Behavior in Organizations,Open only to students in the MBA program. Broad understanding of factors influencing the behavior of individuals in organizations; topics include the individual and contextual determinants of behavior and the tools managers use to influence and direct employee behavior; emphasis on managerial applications of behavioral science theories.,No listed prerequisites
718,BADM,7090,Financial Management,"Open only to students in the MBA program. Investment and financing decisions of the firm and the role of capital markets are studied with the objective of understanding how financial management creates wealth. Emphasis is placed on concepts of valuation, risk and opportunity cost.", BADM 7030
719,BADM,7100,Marketing Management,"Marketing decision-making and planning, including marketing research, product development and management, distribution, demand estimation, market structure analysis, pricing, promotion, advertising and direct marketing.", Open only to students in the MBA program
720,BADM,7120,Operations Management,Open only to students in the MBA program. Major problems and decision processes of operations management; operations strategy; process and capacity planning; facilities planning; aggregate planning; materials planning; quality planning., BADM 7020
721,BADM,7140,Legal Environment of Business,Open only to students in the MBA program. The structure of the legal environment of business; sources of law affecting business; constitutional issues in the legal environment of business; contracts and sales; torts; products liability; corporations; securities; bankruptcy; antitrust; discrimination; labor relations; environmental law; criminal law; its impact negotiation strategies; associated ethical and international issues.,No listed prerequisites
722,BADM,7160,Managing Negotiations,Experiential-based course designed to provide managers with the basic concepts and techniques necessary for effective negotiation and conflict resolution in a variety of business contexts., Open only to students in the MBA program
723,BADM,7170,Understanding International Management Challenges,"May be taken for a max. of 6 hrs. of credit when topics vary. Theories and management of international operations; development of environmental, operational, strategic and decision making perspectives.", prior approval of MBA Director
724,BADM,7190,Strategic Management,"Contemporary approaches to developing and sustaining a competitive advantage in global competition; topics include: competition for competence, strategy and technology, managing home and host government relations, cooperative strategy, strategic alliances, organizational innovation and managing global strategic change.", Open only to students in the MBA program
725,BADM,7200,Economic Environment of the Firm,National and global issues that affect the firm; an introduction to theoretical concepts and policy issues associated mainly with macroeconomics and to a lesser degree with managerial economics., Open only to students in the MBA program
726,BADM,7270,Seminar in New Developments in Business Administration,May be repeated for a maximum of 12 hrs. of credit when topics vary.  Special topics in Business Administration., Permission of department
727,BADM,7401,Cybersecurity,"Course topics include managerial aspects of information security and assurance; access control models, information security governance, and information security program assessment and metrics; technical components of information security issues; national and international laws and international standards like the ISO 27000 series.",No listed prerequisites
728,BADM,7402,Artificial Intelligence for Business,"Course topics include managerial aspects of artificial intelligence, leveraging analytics using artificial intelligence, machine learning, recommendation agents, natural language processing; enterprise AI strategy and the future of AI in business and society.",No listed prerequisites
729,BADM,7403,Cloud Strategy,"Strategy for the digital firm of tomorrow, case studies of cloud implementation.",No listed prerequisites
730,BADM,7420,Financing & Legal Issues for New Ventures,"Insight into financing new ventures and investing in companies in early stages; sourcing, qualifying and analyzing deals; negotiating, structuring and pricing; creating value; realizing value through various kinds of exit from the business. Focus on cases and projects taken from actual financing situations; structuring of venture capital; the process of making investments in emerging companies.", Open only to students in the MBA program
731,BADM,7460,Special Topics in Entrepreneurship,"May be repeated for a max. of 6 sem. hrs. credit when topics vary. In-depth coverage in special topics such as women-owned business, home-based business, exporting for small business and team-building for start-ups.",No listed prerequisites
732,BADM,7480,Independent Study in Entrepreneurship,May be repeated for a max. of 6 sem. hrs. credit when topics vary. Detailed study of a specific aspect of entrepreneurship., departmental approval
733,BADM,7600,Consulting Field Project,Strategic focused field based project learning experiences and opportunities in public and private organizations. Team-based approach to offering consulting advice to organizations with the goal of improving their performance. Emphasis on experiential approaches that provide a participative type of learning about the crucial issues faced by organizations., Entrepreneurship Specialization or permission of instructor
734,BADM,7900,Human Factors in Business and Industry,May be taken for a max. of 6 hrs. of credit when topics vary. Human factors related to business problems., Open only to students in the MBA program
735,BASC,7000,Methods of Instruction in College Life Science Laboratories,Pass-fail grading. Philosophy and practice of life science laboratory education at the college level.,No listed prerequisites
736,BE,1251,Introduction to Engineering Methods,"Credit will not be given for this course and BE 1250. 1 hr lec., 3 hrs. lab. Fundamentals of engineering design; presentation of an engineering design; graphical expression of engineering design using computer-aided drafting.",No listed prerequisites
737,BE,1252,Biology in Engineering,1 hr. lecture; 3 hrs. lab. Effect of variability and constraints of biological systems on engineering problem solving and design; engineering units; engineering report writing; oral report presentation; laboratory demonstration of biological engineering analysis., credit or registration in BIOL 1201
738,BE,2350,Experimental Methods for Engineers,"2 hrs. lecture; 3 hrs. lab. Introduction to experimental methods, technical report writing and instrumentation for engineering applications; measurement of temperature, pressure, flow, strain and vibration in biological products; microprocessor data loggers and computer data acquisition systems.", credit or registration in EE 2950 or PHYS 2113
739,BE,2352,Quantitative Biology in Engineering,2 hrs. lecture; 3 hrs. lab. Characterization of biological phenomena in engineering design; relationships among parameters using linear and nonlinear statistical expressions; case studies of engineering design solutions., BE 1252
740,BE,3290,Professionalism for Biological Engineers,"Ethical standards, technical communication, goal setting, professionalism and professional organizations, safety and risk, team dynamics and proposal preparation.", grade of “C”or better in CE 2450
741,BE,3320,Mechanical Design for Biological Engineering,Term project in mechanical design. 2 hrs. lecture; 3 hrs. lab. Philosophy of mechanical design for biological engineering; materials for construction; frame design; power transmission., CE 3400; credit or registration in CE 2460 or ME 3133
742,BE,3340,Process Design in Biological Engineering,2 hrs. lecture; 3 hrs. lab. Application of engineering and science concepts to design unit operations and processes relevant to biological engineering., MATH 2065
743,BE,3381,Nonpoint Source Pollution Engineering,"2 hrs. lecture; 3 hrs. lab. Water quality criteria and regulations for the agricultural community; production, treatment and disposal of agricultural and food processing wastes; management of agricultural nutrients; nonpoint source pollution; bi-product utilization; land application; wetland restoration; stream sampling and analysis; re-aeration studies and modeling.", BE 2352 and EVEG 3110
744,BE,3989,Special Projects in Biological Engineering,"May be taken for a max. of 6 hrs. of credit. Library research, experimental and/or theoretical investigation and written report in form of engineering report.", consent of instructor
745,BE,4290,Senior Engineering Design," Students work in teams to develop a detailed design to address a technical problem. Activities include developing measurable design objectives and a product design specification, creating multiple design solutions, evaluating design solutions and communicating a detailed design.", BE 2350 and credit or registration in CE 3400
746,BE,4292,Senior Engineering Design Laboratory,6 hrs. lab. Engineering principles used to complete the project set forth in the design outline submitted in BE 4290; design project completion., BE 4290
747,BE,4303,Engineering Properties of Biological Materials,"2 hrs. lecture; 3 hrs. lab. Engineering properties, including rheology, friction, mechanical damage, texture, thermal, optical and electrical properties.", MATH 2065 or MATH 2090 and credit or registration in CE 3400
748,BE,4305,Engineering Entrepreneurship I,"Concepts and current practice in technology related business; emphasis on business, planning, business finance, intellectual property and marketing."," MATH 1552, AGEC 2003, or ECON 2030"
749,BE,4306,Engineering Entrepreneurship II,"Advanced topics in technology based entrepreneurial business start-up examining case based methods; emphasis on product strategy, planning, IP strategy, regulatory strategy, operations, sales, distribution and finance. Students will engage in a semester long business planning exercise.", BE 4305
750,BE,4310,Biofuels and Bioproducts from Renewable Resources," 2 hrs. lecture; 2 hrs. lab. Principles of biofuel and bioproducts production using different technologies. Fundamental concepts are used to design different engineering processes required for production of bioethanol, biodiesel, bio-oil, and other biobased products, including harvesting and logistics.", ME 3333 or equivalent; credit or registration in BE 4352 or equivalent
751,BE,4320,Mechanics of Biological Materials,"Overview of mechanics of anisotropic materials found in biology and nature used in biomedical and high-performance engineering applications, with particular focus on bone. Examination of integrated structure and function of biological materials. Topics include anisotropic elasticity, strength and failure, laminate theory, bone composition, and structural analysis in a biomedical application context."," CE 3400, BE 4303, or by consent of instructor"
752,BE,4323,Biomechanics for Engineers,2 hrs. lecture; 3 hrs. lab. Mechanical behavior of the human musculoskeletal system and component tissue when physical work is performed; engineering mechanics applied to the activities; fundamental knowledge of human anatomy and physiology; workplace design., CE 2450
753,BE,4332,Molecular Methods in Biological Engineering,Fundamentals of the theory and applications of quantitative molecular techniques used in biological engineering research and design.," BIOL 2083, BE 2350 and credit or registration in BE 4303"
754,BE,4334,Industrial Molecular Biotechnology,"Basic and advanced concepts of molecular biotechnology which are widely used in the biotechnology industry. In addition, a significant focus is given towards strategies for modifying biological systems to produce desired biomolecules and proteins."," BE 1252, BIOL 2051, and BIOL 2083"
755,BE,4335,Tissue Engineering,"Familiarizing engineers with tissue engineering concepts and current practice. Topics include: embryology, stem cell biology, cell signaling, nutrition, cryobiology, biomaterials, synthesis/characterization, biocompatibility and scaffold design; design project included."," BE 4303, BIOL 1202, BIOL 2083 and CHEM 2261"
756,BE,4336,Biocompatibility & Surface Modification of Materials,Biocompatibility of materials; biomaterials and their biomedical applications; and surface modification technology. A design project will be included., BE 4303
757,BE,4337,Regenerative Medicine,"Will introduce technologies to regenerate tissues and organs utilizing stem cells and engineered biomaterials. Widely utilized and most advanced regenerative engineering technologies will be presented and discussed, including translational and clinical applications of engineered tissues.", BIOL 2083 and BE 1252
758,BE,4338,Applied Synthetic Biology,"Emerging principles that seek to make biological systems easy to engineer, and how such methods may be used to investigate, analyze, and understand natural and engineered biological systems. A broad range of approaches will be used in analyzing contemporary scientific and engineering challenges and opportunities, drawing heavily upon primary scientific literature of engineered biological systems."," BIOL 1202, BIOL 2051, BIOL 2083, CHEM 2261, and BE 1252"
759,BE,4339,Cancer Biomaterials,"Establish fundamentals in cancer biology and an understanding for the use of engineered biomaterials in cancer research. Basic principles of cancer to understand the interactions of cells with engineered biomaterials employed for therapy, cell culture, and 3D tumor models with focus on engineering principles, and design concepts.", BIOL 1202 and CE 2450
760,BE,4340,Food and Bioprocess Engineering,See NFS 4005.,No listed prerequisites
761,BE,4341,Biological Reactor Systems Design,2 hrs. lecture; 3 hrs. lab. Microbial and biochemical principles used in design of biological reactors for biotransformation; metabolic output and cellular production; design of batch and continuous flow reactors utilizing microbial kinetic models; attached and suspended growth systems and eucaryotic and procaryotic cells., BIOL 2051 and BE 4352
762,BE,4342,Sugar Process Engineering,"Processes used in the manufacture of raw and refined sugar; application of scientific and engineering principles to unit operations of evaporation, crystallization, extraction, solids handling and drying, centrifuging, clarification and steam and power generation."," EE 2950, CE 2200 or ME 3834 or CHE 3101, ME 2334 or ME 3333"
763,BE,4352,Transport Phenomena in Biological Engineering,"Mass balances with consideration of chemical and biological reaction kinetics; energy balance and principles of conduction, convection and radiation including 3-D diffusion, transient heat transfer and convection analysis; energy transfer in engineering design and analysis; principle of mass transfer."," BE 2352, BIOL 2051; credit or registration in CE 2200 and ME 3333"
764,BE,4361,Humanitarian Engineering,"Principles of humanitarian engineering, including community-based design and social justice in engineering practice. Mastery of these principles through case study and through creation of an individual project."," Senior standing in biological or related engineering discipline, CE 2450, or by permission of instructor"
765,BE,4380,Aquacultural Engineering,Engineering principles applied to aquacultural systems; water chemistry; fluid mechanics; aquacultural pumping plants; fish pond design; recirculating aquacultural systems; water filtration; disinfection; aeration and degassing., senior standing
766,BE,4383,Natural Resource Engineering,"Engineering analysis and design of natural resource control systems, including open channels, vegetated water-ways, terraces, water control structures, spillways, reservoirs, flood control, surface water quality and wetlands.", CE 2200
767,BE,4390,Senior Engineering Design I,"2 hrs. lecture; 3 hrs. lab. Students learn about team dynamics, professional licensure, and review ethical case studies while working in teams to develop a detailed design to address a technical problem while preparing their project proposal.", BE 2350 and credit or registration in CE 3400
768,BE,4392,Senior Engineering Design II,1 hr. lecture; 6 hrs. lab. Applying the engineering principles to complete the design set forth in the project report submitted in BE 4390. Understanding professionalism and professional organizations and services., BE 4390
769,BE,4910,Special Topics in Undergraduate Biological Engineering,May be repeated for a max. of 6 hrs. of credit when topics vary. One or more phases of undergraduate biological engineering practice., permission of instructor
770,BE,4989,Independent Study in Biological Engineering,"Written engineering report required. May be taken for a max. of 6 sem. hrs. of credit when topics vary. Biological engineering practice; library research, experimental and/or theoretical investigation.", senior standing
771,BE,7300,Research Methodology in Biological Engineering,Practice in academic writing required for graduate-level research. The framing and writing of research methods and how to prepare a research proposal and a peer-reviewed conference abstract (e.g. Biomedical Engineering Society) will be covered. Each student will prepare a NIH-style research proposal and one-page conference abstract.,No listed prerequisites
772,BE,7304,Advanced Natural Resource Engineering,"Advanced topics in statistical hydrology, flow theory, evapotranspiration, transport of pollutants, drainage, irrigation, erosion, sediment transport and sedimentation applied to rural fields and watersheds.", BE 4383
773,BE,7320,Advanced Mechanics of Anisotropic Biological Materials,"Advanced mechanics of anisotropic materials found in biology and nature used in biomedical and high-performance engineering applications, with particular focus on bone. Overview of integrated structure and function of biological materials. Applied concepts in calculation and evaluation of structural parameters of bone as part of determining bone quality."," BE 4320, or equivalent, or by consent of instructor"
774,BE,7331,Nanodelivery Systems,"Types of nanodelivery systems, their importance and applications. Fundamental chemistry concepts, including surfactants, micelles and emulsions. Synthesis of polymeric nanoparticles, characterization and applications of nanodelivery systems will be covered in detail.",No listed prerequisites
775,BE,7340,Advanced Food Engineering and Biotechnology,"Design and modeling of food and bioprocessing systems; application of advanced thermodynamic principles and transport phenomena with emphasis on numerical techniques in the design, analysis and modeling of food systems; focus on current research topics in food engineering and food biotechnology.", BE 4340
776,BE,7350,Advanced Instrumentation and Control for Biological Systems,"2 hrs. lecture; 3 hrs. lab. Theory of measurement and feedback integrated with applied design work with biological systems; focus areas include: aquaculture, precision farming, environmental applications, bioprocess, biomedical measurement and control concepts.", BE 2350 and MATH 2065
777,BE,7361,Advanced Humanitarian Engineering,"Advanced principles of humanitarian engineering, including community-based design and social justice in engineering practice. Mastery of these principles through case study and through creation of an individual project.", Graduate standing in biological engineering or related engineering discipline
778,BE,7381,Advanced Aquacultural Engineering,"Advanced topics in aquacultural aeration, oxygenation, disinfection of aquacultural systems and aquacultural wastewater characterization; integration with traditional agricultural production.", BE 4380
779,BE,7500,Seminar,Pass-fail grading. Only 1 sem. hr. of credit will be allowed toward the degree., graduate standing in engineering
780,BE,7909,Advanced Topics in Biological Engineering,May be taken for a max. of 6 hrs. of credit when topics vary. One or more phases of advanced biological engineering practice., consent of instructor
781,BE,7910,Special topics in Biological Engineering,May be taken for a max. of 9 hrs. when topics vary. One or more phases of advanced biological engineering practice.,No listed prerequisites
782,BE,8000,Thesis Research,“S”/”U”grading.,No listed prerequisites
783,BE,9000,Dissertation Research,“S”/”U” grading.,No listed prerequisites
784,BIOL,1001,General Biology,"[LCCN: CBIO 1013, General Biology I] This is an Integrative Learning Core (ILC) course that awards general education credit. Credit will not be given for this course and BIOL 1201. For nonscience majors. Not for degree credit for a student majoring in a biological science. General concepts in cell biology, genetics, ecology and evolution.",No listed prerequisites
785,BIOL,1002,General Biology,"Credit will not be given for this course and BIOL 1202. For nonscience majors. Not for degree credit for a student majoring in a biological science. Diversity, interactions and life histories of microorganisms, fungi, plants and animals.", BIOL 1001 or BIOL 1201
786,BIOL,1005,Introductory Biology Laboratory,"1 hr. lecture; 3 hrs. lab. Basic principles of biology including cell biology, genetics, ecology, evolution, diversity and systems physiology."," credit in BIOL 1001 and credit or registration in BIOL 1002; Credit not allowed for students who have had BIOL 1207, BIOL 1208 or BIOL 1209"
787,BIOL,1011,Microorganisms and Man,"[LCCN: CBIO 2103, 2104 General Microbiology] This is an Integrative Learning Core (ILC) course that awards general education credit. Credit will not be given for both this course and BIOL 2051. Not open to biological science majors. Microorganisms and their relationship to people; microbial form and function; role of bacteria in health and disease, ecology and industry from food production to genetic engineering.",No listed prerequisites
788,BIOL,1012,Microorganisms and Man Laboratory,Credit will not be given for both this course and BIOL 2051. Not open to biological science majors. 3 hrs. lab. Basic laboratory skills for handling and observing microorganisms; demonstration of features of microorganisms discussed in BIOL 1011., credit or registration in BIOL 1011
789,BIOL,1201,Biology for Science Majors I,"Credit will not be given for both this course and BIOL 1001. Primarily for students in science, agriculture or education. General concepts in cellular structure, cellular metabolism, cellular communication and genetics."," minimum ACT composite of 23 or credit or registration in MATH 1022, MATH 1023, MATH 1431, MATH 1530, MATH 1550, or MATH 1551"
790,BIOL,1202,Biology for Science Majors II,"Primarily for students in science, agriculture or education. Credit will not be given for this course and BIOL 1002. General concepts in evolution, ecology and the function of organisms.", BIOL 1201
791,BIOL,1207,Honors: Biology Laboratory for Science Majors,"Credit will not be given for this course and BIOL 1005 or BIOL 1208. 3 hrs. lab. Topics include biochemistry, enzymes, cell structures, osmosis, cellular respiration, photosynthesis, cell division, genetics and ecology.", credit or registration in BIOL 1201 and admission to the Honors College
792,BIOL,1208,Biology Laboratory for Science Majors I,"Credit will not be given for this course and BIOL 1005 or BIOL 1207. 3 hrs. lab. Primarily for students majoring in science, agriculture or education.", credit or registration in BIOL 1201
