,coursetext
1284,"CMST 2064 Small Group Communication (3)
Aspects of group leadership; group discussion and the problems of communication in human relations."
1285,"CMST 2200 Practicum in Communication Studies (1-3)
Prereq.: permission of department. Pass-fail grading. May be taken for a max. of 3 sem. hrs.; however, no more than a total of 3 sem. hrs. in CMST 2200 and CMST 4200 may be taken for undergraduate credit. Practical experience in major interdepartmental activities outside the classroom under direct faculty supervision."
1286,"CMST 3012 History of Film (4)
3 hrs. lecture; 3 hrs. lab. Historical, cultural, artistic and technological development of the film industry; selected films screened and studied."
1287,"CMST 3013 Topics in Film Genres (4)
May be taken for a max. of 8 sem. hrs. of credit when topics vary. 3 hrs. lecture; 3 hrs. lab. Cultural history, structure, rhetoric and performance of particular film genres."
1288,"CMST 3040 Performance Composition (3)
Prereq.: CMST 2040. Study of the rhetorical and aesthetic elements of solo and group performance, including performances of literature, cultural performances and experimental performances."
1289,"CMST 3041 Performance in Everyday Life (3)
Communication-centered study of performance and theatricality in daily life."
1290,"CMST 3060 Advanced Public Speaking (3)
Prereq.: grade of “B” or better in CMST 1061 or CMST 2060. Refined development in platform speaking."
1291,"CMST 3106 Communication and Power (3)
How power is created, maintained and subverted through the strategic use of discourse."
1292,"CMST 3107 Rhetoric of the Contemporary Media (3)
Various forms of media (television, pulp novels, pop music); their promotion of cultural values and modes of conduct; study of major rhetorical critics and theorists."
1293,"CMST 3112 Personal Relationships and Social Networks (3)
How personal relationships exist within a web of other personal and social relationships; examining how third-parties (whether individuals or social groups) influence the initiation, maintenance, and deterioration of personal relationships and how our personal relationships influence our networks."
1294,"CMST 3113 Conversation (3)
Analysis of verbal processes in conversation; emphasis on theory and research concerning language, messages and social interaction."
1295,"CMST 3114 Communication Research (3)
Techniques and procedures in communication research; topic development, research design, data collection, data analysis; examination of recent research in communication."
1296,"CMST 3115 Communication and Gender (3)
Gender differences, sex roles and sexual stereotypes in communication."
1297,"CMST 3118 Intercultural Communication (3)
Theories and research of how people of different cultures communicate; emphasis on developing a critical sensitivity and foundations for increased effectiveness appropriate to a multicultural society."
1298,"CMST 3167 Rhetoric and Civilization (3)
Role of oratory in the formation, mobilization and destruction of human communities from ancient to modern times."
1299,"CMST 3168 Rhetoric of Propaganda (3)
Prereq.: CMST 2060 or CMST 2063. Common persuasive strategies employed in propagandistic discourse."
1300,"CMST 3169 The Rhetoric of Social Movements (3)
Prereq.: CMST 2063, CMST 3106, CMST 3107 or CMST 3167. Persuasive strategies used to build social identities and collectively agitate for social change."
1301,"CMST 3210 Computer Mediated Communication (3)
Prereq.: CMST 2010. Theories of communication as they apply to communication by computerized means. The effects of CMC on daily human activity, interpersonal relationships and work life."
1302,"CMST 3300 Rhetorical Criticism (3)
Prereq.: CMST 2060. History and practice of criticism as a means of inquiry in rhetorical studies. Theoretical and methodological underpinnings of major schools of criticism examined."
1303,"CMST 3810 Independent Study (1-3)
Prereq.: permission of department. May be taken for a max. of 3 hrs. of credit on a communication topic not duplicated in regular course offerings. Course may be taken for a max. of 6 hrs. of credit in the major."
1304,"CMST 3900 Selected Topics in Communication Studies (3)
Prereq.: consent of instructor. May be taken for a max. of 6 hrs. of credit when topics vary. Consult Schedule of Classes for current offering."
1305,"CMST 4012 Communication and Relationships (3)
Prereq.: CMST 2010 or equivalent. Survey of theories of interpersonal communication and misunderstandings in relational development and deterioration; more effective communication."
1306,"CMST 4100 Political Communication (3)
Factors and strategies in contemporary political communication in the U.S.; emphasis on electronic communication, candidates and images, campaign management, speech making and advertising; study of recent and current elections."
1307,"CMST 4101 Organizational Communication (3)
Prereq.: CMST 2010. Theories surrounding how people communicate within the organizational setting, as well as how communication relates to the process of organizing; examines relevant theories and research."
1308,"CMST 4102 Communication and Careers (3)
Prereq.: CMST 2010 or equivalent. Examines theoretical and practical discourses surrounding careers on individual and group levels; includes key career issues: meanings of work, work/life balance, mentorship, career analogies."
1309,"CMST 4107 Communication as Culture (3)
Prereq.: CMST 3106, CMST 3107 or CMST 3167. Creation, maintenance and alteration of cultural norms, institutions and values through both mass mediated spectacle and intimate communication ritual."
1310,"CMST 4111 Intrapersonal Communication (3)
Prereq.: CMST 2010. Examination of mental imagery, imagined interaction and listening across a variety of contexts."
1311,"CMST 4112 Health Communication (3)
Communication in the health care context; application to pragmatic problems in the healthcare industry; critical examination of health messages in popular culture."
1312,"CMST 4113 Communication and Leadership in Teams (3)
Analysis of communication processes in groups and teams; includes examination of theories and research findings; addresses individual and team participation, leadership and decision-making skills."
1313,"CMST 4114 Contemporary Theories of Communication (3)
Current methods and theories of human communication; research literature; behavioral antecedents and consequences of messages and their variations; how messages interact with communicators to produce behavioral outcomes."
1314,"CMST 4118 Modeling Communication Within Marital and Family Relationships (3)
Also offered as SOCL 4402. Prereq.: CMST 2010. Role of communication within marriages and other family arrangements."
1315,"CMST 4119 Nonverbal Communication (3)
Prereq.: CMST 2010 or equivalent. Nonverbal message systems such as kinesics and proxemics; relationship between nonverbal and verbal communication."
1316,"CMST 4130 Communication Skills Training and Assessment (3)
Provides students with a theoretically-based understanding of training communication skills."
1317,"CMST 4140 Analysis and Performance of Poetry (3)
Prereq.: CMST 2040. Advanced study of selected forms, styles, and genres of oral and written poetry through solo and group performance."
1318,"CMST 4141 Analysis and Performance of Narrative (3)
Prereq.: CMST 2040. Advanced study of selected novels, short stories and oral narratives through solo and group performance; stylistic and rhetorical analyses."
1319,"CMST 4142 Selected Topics in Performance Studies (3)
Prereq.: CMST 2040 and CMST 3040 or equivalent. May be taken for a max. of 6 hrs. of credit when topics vary."
1320,"CMST 4143 Performance of Southern Fiction (3)
Prereq.: CMST 2040 or equivalent. Study of selected texts of contemporary southern fiction through solo and group performance; literary criticism of texts performed; relevant narrative and performance theory."
1321,"CMST 4144 Performance Art (3)
Prereq.: CMST 2040 and CMST 3040 or equivalent. History, theory, criticism and practice of 20th century avant-garde performance and performance art."
1322,"CMST 4145 Group Performance (3)
Prereq.: CMST 2040 and CMST 3040 or equivalent. Theory and techniques of adapting and staging nondramatic literature and other materials for group performance; directing for Reader’s Theatre, Chamber Theatre, Story Theatre and other forms."
1323,"CMST 4147 Body Performance Culture (3)
Prereq.: CMST 2040 and CMST 3040 or equivalent. Theories and uses of the body as a site of cultural production and communication in everyday life and more formal performance events."
1324,"CMST 4150 Tourism as Communication & Performance (3)
Communication and performance-centered study of contemporary tourism and travel."
1325,"CMST 4160 Persuasive Communication (3)
Prereq.: CMST 1061, CMST 2060, CMST 2063 or equivalent. Nature of persuasive communication; the role of message, source and recipient factors in persuasive impact."
1326,"CMST 4162 Crime, Communication & Culture (3)
Explores rhetorical dimensions of crime and incarceration in the United States; special attention to historical and contemporary expressions of race, class, gender, sexuality, national identity, etc. in and around the criminal justice system."
1327,"CMST 4165 History and Criticism of American Public Address (3)
Prereq.: CMST 2060 or CMST 2063 or CMST 4160. American public address from colonial times to the present; speeches of outstanding American statesmen, lawyers and clergymen and sources of their effectiveness."
1328,"CMST 4167 Contemporary Rhetorical Theory (3)
Prereq.: CMST 1061 or CMST 2060 or CMST 4160 or equivalent. Developments in rhetoric from contemporary theoretical and critical perspectives; key concepts in the philosophy of rhetoric."
1329,"CMST 4168 Rhetoric and the Arts (3)
Prereq.: CMST 2040, CMST 3041, CMST 3106, CMST 3107 or CMST 3167. The arts as a means of transforming experience and influencing social change."
1330,"CMST 4169 Visual Rhetoric (3)
Prereq.: CMST 2060 or CMST 2063. Methodological approaches useful in understanding how images communicate messages and make arguments."
1331,"CMST 4200 Practicum in Communication Studies (1-3)
Prereq.: permission of department. Pass-fail grading. May be taken for a max. of 3 sem. hrs. of undergraduate credit; no more than a total of 3 sem. hrs. of CMST 2200 and CMST 4200 may be taken for undergraduate credit. May be taken for a max. of 9 sem. hrs. of graduate credit in Communication Studies.  Practical experience in major interdepartmental activities outside the classroom under direct faculty supervision."
1332,"CMST 4201 Communication Internship (3)
Prereq.: permission of department. Pass/fail grading. For students who have a secured internship in a professional area of communication. Preparation, assessment, and mentorship."
1333,"CMST 4312 Topics in Critical Media Theory and Practice (3)
Prereq.: CMST 2012, CMST 3012, CMST 3107 or permission of department. May be taken for a max. of 6 sem. hrs. of credit when topics vary. Topics such as “Basic Concepts of Cinema,” “Aesthetics of Film and Video,” and “Cyberculture Theory.”"
1334,"CMST 4971 Special Topics in Mass Communication (3)
Prereq.: consent of instructor. See MC 4971."
1335,"CMST 7900 Introduction to Graduate Study in Communication Studies (3)
Required of all master’s students and of doctoral students on advice of their major professors."
1336,"CMST 7902 Professional Development (1)
Pass/fail grading. May be repeated for a max. of 2 sem. hrs. of credit when topics vary. A CMST core course required of all CMST graduate students in their first two academic semesters; provides information and support for new graduate students."
1337,"CMST 7903 Research Writing in Communication Studies (3)
Professional development seminar for graduate students in Communication Studies. Emphasis on refining research and writing skills for careers in the discipline."
1338,"CMST 7904 Seminar: Pedagogy for the Communication Classroom (3)
Information and support for college teachers in the communication classroom, teaching skills; core teaching values and instructional strategies."
1339,"CMST 7910 Seminar in Interpersonal Communication Theory (3)
Prereq.: CMST 4012 or equivalent. May be taken for a max. of 12 hrs. credit when topic vary. Current theoretical approaches to interpersonal communication, including developmental approaches, cognitive and relational theories."
1340,"CMST 7911 Communication and the Individual (3)
Prereq.: permission of department. May be taken for a max. of 6 hrs. of credit when topics vary. Current theoretical approaches to the role of the individual in communication. Topics such as individual differences, imagined interaction, and listening."
1341,"CMST 7912 Communication and Relationships (3)
Prereq.: permission of department. May be taken for a max. of 6 hrs. when topics vary. Examination of theoretical perspectives and concepts over the life cycle of interpersonal relationships across contexts including relationship types, roles, emotion, conflict, third-party influences, deception, persuasion, and dissolution processes."
1342,"CMST 7913 Seminar: Communication Theory (3)
May be taken for a max. of 6 hrs. of credit when topics vary. Foundational and contemporary theories in communication."
1343,"CMST 7914 Communication in Health Care Contexts (3)
Prereq.: permission of department. May be taken for a max. of 6 sem. hrs. of credit when topics vary. Topics such as interpersonal communication in health care contexts, intersections of family and health communication, and social support and health communication."
1344,"CMST 7915 Seminar: Research in Communication Theory (3)
Prereq.: CMST 4114 or equivalent. May be taken for a max. of 9 sem. hrs. credit when topics vary.
Research literature on advanced topics in communication theory."
1345,"CMST 7923 Seminar in Qualitative Research Methods in Communication Studies (3)
May be taken for a max. of 6 sem. hrs. of credit when topics vary. Theoretical and practical considerations of current methods of qualitative research in the discipline."
1346,"CMST 7940 Performance Theories and Methods (3)
Survey of theories and methods of twentieth and twenty-first century performance practices in western cultures."
1347,"CMST 7941 Seminar: Studies in the History of Performance (3)
Historical development of select Western performance practices outside the institution of theatre; methods of historical research in performance studies."
1348,"CMST 7943 Seminar: Performance and Culture (3)
Theories and research exploring the relations between performance and culture central to the field of Performance Studies. Emphasis on two main trajectories: performance as a subject of cultural inquiry and performance as a method of cultural invention."
1349,"CMST 7944 Performance and Media (3)
May be taken for a max. of 6 sem. hrs. credit when topics vary. Critical, historical and/or creative research in topics related to media in performance in contexts such as media theatre, film, video, television, Internet and virtual reality."
1350,"CMST 7945 Seminar: Contemporary Theories and Research in Performance Studies (3)
May be taken for a max. of 12 hrs. of credit when topics vary. Topics related to solo and group performance of literature; performance theory and criticism; interrelationships of performance and culture; experimental performance forms; qualitative research methods."
1351,"CMST 7946 Theory and Performance of Narrative Discourse (3)
Prereq.: CMST 4141, CMST 4142 or equivalent. Narrative theory in literature and performance; rhetoric of narrative discourse."
1352,"CMST 7961 Seminar: Evolution of Rhetorical Theory, Classical Period (3)"
1353,"CMST 7962 Seminar: Rhetorical Criticism (3)
Types of speech criticism, criteria and measures of effectiveness of public address."
1354,"CMST 7965 Rhetoric & Social Theory (3)
Survey of key social theorists relevant to rhetorical theory and criticism. "
1355,"CMST 7966 Problems in Rhetorical Theory, Criticism and History (3)
Prereq.: consent of instructor.
May be taken for a max. of 12 sem. hrs. of credit when content varies. Selected problem that goes beyond present advanced course offerings in public address; topic to be announced."
1356,"CMST 7967 Development of Contemporary Rhetorical Theory (3)
Pivotal questions in contemporary theory from I. A. Richards through postmodernism; future of rhetorical theory and its relationship to the humanities."
1357,"CMST 7968 Rhetoric and Public Culture (3)
Scope and function of rhetoric in formation and dissolution of publics and public opinion; the reciprocal influence of rhetoric and culture."
1358,"CMST 7969 Visual Culture (3)
May be taken for a max. of 6 sem. hrs. of credit when content varies. Intellectual genealogies, theories of the visual and problems in a visual culture."
1359,"CMST 7970 Rhetoric & Citizenship(s) (3)
Addresses the concept of citizenship in rhetorical studies; role of rhetoric in defining citizenship; ways concepts of citizenship include and exclude different communities."
1360,"CMST 7971 Feminist Critique (3)
Examination of modern feminist theories and their deployment in the critique of communicative artifacts and texts."
1361,"CMST 7976 Rhetoric and Aesthetics (3)
The relationship between form and function in rhetorical discourse; the constitutive nature of aesthetics in language and the arts."
1362,"CMST 7998 Professional Practice Projects in Communication Studies (3-6)
Prereq.: Permission of department. May be taken for a max. of 6 sem. hrs. of credit. Project-based course for MA students pursuing a field-based, professional practice experience as an alternative to the thesis."
1363,"CMST 7999 Independent Research in Communication Studies (1-3)
Prereq.: permission of department. May be taken for a max. of 6 sem. hrs. credit. For advanced graduate students to pursue research on special topics."
1364,"CMST 8000 Thesis Research (1-12 per sem.)
“S”/”U”grading."
1365,"CMST 9000 Dissertation Research (1-12 per sem.)
“S”/”U”grading."
1366,"COMD 1751 COMD Goes to the Movies (3)
Introduction to the diverse communication disorders and differences served by the fields of speech-language pathology and audiology (SLP&A) through movies, including how reality may differ from stereotypes. "
1367,"COMD 2050 Introduction to Language (3)
This is an Integrative Learning Core (ILC) course that awards general education credit. Also offered as LING 2050. Linguistic study of the principal interrelated levels of language structure: phonetics, phonology, morphology, syntax and semantics; related topics such as writing systems and dialects."
1368,"COMD 2051 Introduction to Manual Communication (3)
Basic linguistic structure, educational and cultural aspects and reading and transmitting messages in manual communication systems; American Sign Language as well as English-based systems."
1369,"COMD 2081 Introduction to Communication Disorders (3)
Required initial course for undergraduates concentrating in speech pathology and audiology. Observations in Speech and Hearing Clinic required. Processes involved in speech production; definition, description and incidence of speech and hearing disorders; overview of the profession, including agencies, related professionals, job opportunities, publications, professional associations and certification."
1370,"COMD 3057 Research Methods for COMD (3)
Introduction to scientific literature and research methods employed in studies of human communication development and disorders across the lifespan."
1371,"COMD 3150 Phonetics (3)
Also offered as LING 3150. Principles of phonemics; articulatory phonetics; description and classification of sounds; transcription at different levels of detail; production and perception."
1372,"COMD 4153 Acoustics of Speech and Hearing (4)
Also offered as LING 4153. Prereq.: COMD 2050 or equivalent. 3 hrs. lecture; 2 hrs. lab. Production, transmission and perception of speech acoustics in communication; acoustic phonetics and psycho-acoustics."
1373,"COMD 4190 Introduction to Audiology (3)
Prereq.: COMD 2081 and credit or registration in COMD 4153. Interaction of hearing and speech, effects of hearing loss on speech and language development, types of hearing loss and evaluation processes."
1374,"COMD 4250 Anatomy and Physiology of Speech and Hearing (3)
Prereq.: COMD 2050. Functional anatomy of structures associated with speech production and reception."
1375,"COMD 4380 Speech and Language Development (4)
Also offered as LING 4380. 3 hrs. lecture; 1 hr. lab. Language acquisition and behavior, language and cognitive development, verbal learning and structural properties of speech; theories of language development in the normal child."
1376,"COMD 4381 Speech Sound Disorders in Children (3)
Prereq.: COMD 2081, COMD 3150. Introduction to articulatory physiology, development, etiology, evaluation and treatment of disorders."
1377,"COMD 4382 Basic Language Disorders of Children (3)
Prereq.: COMD 4380 or equivalent and consent of instructor. Differential diagnosis and remediation of major language disorders of children."
1378,"COMD 4383 Basic Fluency Disorders (3)
For clinical practicum take COMD 4683, COMD 4684 or COMD 4685. Stuttering and allied disorders; emphasis on symptomatology, testing, rehabilitation and prevention."
1379,"COMD 4590 Auditory Rehabilitation in Children (3)
Prereq.: COMD 4153, COMD 4190. Methods of management including modes of communication, auditory and speech-reading training, amplification issues, early identification and intervention and educational placement."
1380,"COMD 4681 Clinical Preparation and Observation Laboratory (1)
For majors in communication sciences and disorders. For undergraduate credit only. 2 hrs. lab. Study of clinic rules and procedures, codes of ethics; observation of various types of therapy and evaluation."
1381,"COMD 4683 Clinical Practice: Therapeutic Techniques (1-6 each)
Prereq.: credit in course work related to practicum-specific speech, language or hearing disorder. May be taken for a max. of 8 sem. hrs. of credit each. On- and off-campus practica in speech, language and hearing disorders."
1382,"COMD 4684 Clinical Practice: Therapeutic Techniques (1-6 each)
Prereq.: credit in course work related to practicum-specific speech, language or hearing disorder. May be taken for a max. of 8 sem. hrs. of credit each. On- and off-campus practica in speech, language and hearing disorders."
1383,"COMD 4685 Clinical Practice: Therapeutic Techniques (1-6 each)
Prereq.: credit in course work related to practicum-specific speech, language or hearing disorder. May be taken for a max. of 8 sem. hrs. of credit each. On- and off-campus practica in speech, language and hearing disorders."
1384,"COMD 4750 Independent Research in Speech Science or Linguistics (1-3)
Also offered as LING 4750. May be taken for a max. of 3 hrs. of credit. Readings in speech science or linguistics directed by a senior faculty member."
1385,"COMD 4751 Special Topics in Communication Disorders (3)
May be taken for a max. of 6 hrs. undergraduate or graduate credit when topics vary."
1386,"COMD 4752 Survey of Adult Neurogenic Communication Disorders (3)
Prereq.: COMD 2050. Biopsychosocial model of health provides structure for study of basic neuroanatomy, assessment, treatment and social consequences of adult neurogenic communication disorders."
1387,"COMD 4753 Undergraduate Seminar in Speech Perception (3)
Prereq.: COMD 4190. Not for graduate credit. Introduction to problems in speech perception across the human lifespan, in both typical and atypical listeners."
1388,"COMD 4754 Bilingual Language Development and Disorders (3)
Prereq.: COMD 4382. Nature of bilingual language development as well as language and reading disorders of bilingual children. "
1389,"COMD 4755 Autism and Augmentative and Alternative Communication (3)
The speech-language pathologist’s role in diagnosis, treatment, and advocacy of individuals with autism and those using AAC."
1390,"COMD 7153 Research Design in Communication Science and Disorders (3)
Empirical research design problems in speech and hearing; emphasis on measurement validity and reliability."
1391,"COMD 7281 Acquired Neurogenic Language Disorders (3)
Neuroscience, assessment, and treatment of acquired neurogenic language disorders (aphasia and dementia)."
1392,"COMD 7282 Acquired Neurogenic Cognitive-Communicative Disorders (3)
Neuroscience, assessment, and treatment of acquired neurogenic cognitive communicative disorders (TBI and RHD)."
1393,"COMD 7381 Language and Learning Disorders (3)
Prereq.: COMD 4382. Language disorders and the communicative aspect of language; current research and treatment models for language intervention; relationship between language and learning; emphasis on school-aged child."
1394,"COMD 7382 Voice Disorders (3)
Incidence, etiology, concomitant problems; assessment and management of vocal dysphonias, aphonias and laryngectomees."
1395,"COMD 7383 Cleft Palate/Orofacial Disorders (3)
Prereq.: COMD 4250, COMD 4380. Orofacial anatomy, physiology and embryology; etiology and classification of orofacial cleft; surgical, dental, speech, hearing and psychosocial concomitants and their management."
1396,"COMD 7384 Early Communicative Intervention (3)
Prereq.: COMD 4382 or equivalent. For clinical practicum, take COMD 7684 or COMD 7685. Cognitive, social, and environmental conditions associated with “high risk” for communicative disorders; intervention approaches (prevention, evaluation, direct stimulation of child-caregiver interactions) and service delivery models (home-based, center-based)."
1397,"COMD 7385 Neuropathologies of Speech (3)
Prereq.: COMD 4250, COMD 4381 or equivalent. Physiological and anatomical bases of dysarthria, apraxia and related speech disorders due to neuropathology in the adult population; emphasis on diagnosis, description and clinical management."
1398,"COMD 7480 Measurement and Diagnosis of Communication Disorders (3)
Psychological and behavioral measurement of communicative functioning and treatment planning for common speech/language disorders."
1399,"COMD 7683 Graduate Clinical Practicum (1-6 each)
Prereq.: credit or enrollment in the course dealing with the specific disorder in which practicum is to be taken. May be repeated for credit in order to obtain the clock hours necessary for certification by the American Speech, Language, Hearing Association. Only 6 sem. hrs. of academic credit may be counted toward the degree, although all practicum hours count for professional certification. 2-8 hrs. clinic. On- and off-campus graduate practicum in specific areas (articulation, language, fluency, voice, aural rehabilitation, early intervention, diagnostic audiology, oral-facial anomalies, neurological disorders)."
1400,"COMD 7684 Graduate Clinical Practicum (1-6 each)
Prereq.: credit or enrollment in the course dealing with the specific disorder in which practicum is to be taken. May be repeated for credit in order to obtain the clock hours necessary for certification by the American Speech, Language, Hearing Association. Only 6 sem. hrs. of academic credit may be counted toward the degree, although all practicum hours count for professional certification. 2-8 hrs. clinic. On- and off-campus graduate practicum in specific areas (articulation, language, fluency, voice, aural rehabilitation, early intervention, diagnostic audiology, oral-facial anomalies, neurological disorders)."
1401,"COMD 7685 Graduate Clinical Practicum (1-6 each)
Prereq.: credit or enrollment in the course dealing with the specific disorder in which practicum is to be taken. May be repeated for credit in order to obtain the clock hours necessary for certification by the American Speech, Language, Hearing Association. Only 6 sem. hrs. of academic credit may be counted toward the degree, although all practicum hours count for professional certification. 2-8 hrs. clinic. On- and off-campus graduate practicum in specific areas (articulation, language, fluency, voice, aural rehabilitation, early intervention, diagnostic audiology, oral-facial anomalies, neurological disorders)."
1402,"COMD 7750 Special Topics in Linguistics (3)
Also offered as LING 7750. May be taken two times for credit for the master’s degree and four times for the doctorate when topics vary. Topics to be announced."
1403,"COMD 7756 Independent Research: Phonetics and Linguistics (1-3)
Also offered as LING 7756. Prereq.: consent of instructor. May be taken for a max. of 6 sem. hrs. of credit. For advanced graduate students who wish to pursue research on special problems exclusive of thesis or dissertation."
1404,"COMD 7780 Seminar in Communication Disorders (3)
Prereq.: consent of instructor. May be repeated for max of 6 sem. hrs. credit when topics vary. Selected topics in communicative disorders."
1405,"COMD 7781 Independent Research: Speech Science (1-3)
Prereq.: consent of instructor. May be taken for a max. of 6 sem. hrs. of credit. For advanced graduate students who wish to pursue research on special problems exclusive of thesis or dissertation."
1406,"COMD 7782 Individual Research in Communication Disorders (1-3)
Prereq.: consent of instructor. May be taken for a max. of 12 sem. hrs. of credit. For advanced graduate students who wish to pursue research on special problems exclusive of thesis or dissertation."
1407,"COMD 7783 Dysphagia (3)
Prereq.: COMD 4250. Characteristics, assessment and management of swallowing disorders in children and adults occurring secondary to neurological or structural deficits."
1408,"COMD 7784 Augmentative and Alternative Communication (3)
Use of AAC and related assistive technology to aid individuals with complex communication needs."
1409,"COMD 7790 Professional Development and Ethics in COMD (1)
May be taken for a max. of 2 hrs. Professional and ethical issues related to a career in teaching and research in the field of communication sciences and disorders. "
1410,"COMD 7880 Advanced Seminar in Language Disorders (3)
May be taken for max 6 sem. hrs. credit when topics vary. Theory, contemporary issues and research related to language disorders as a method of inquiry and intervention; evaluation of research methodology."
1411,"COMD 7882 Advanced Individual Research in Communication Science and Disorders (1-6)
Prereq.: admission to PhD program and consent of instructor. May be taken for a max. of 6 hrs. of credit. Research topics ancillary or extraneous to dissertation research."
1412,"COMD 8000 Thesis Research (1-12 per sem.)
“S”/”U”grading."
1413,"COMD 9000 Dissertation Research (1-12 per sem.)
“S”/”U”grading."
1414,"CPLT 2201 Introduction to World Literary Traditions (3)
This is an Integrative Learning Core (ILC) course that awards general education credit. Also offered as ENGL 2201. Study of the world’s most influential literary classics in Western and non-Western traditions from beginnings to 1650; emphasis on reading and writing about literature."
1415,"CPLT 2202 Introduction to Modern World Literature (3)
This is an Integrative Learning Core (ILC) course that awards general education credit. Also offered as ENGL 2202. Overview of the literature of the world from 1650 to the present day; introduction of the concept and theory of world literature."
1416,"CPLT 2203 Introduction to Global Cinemas (3)
Also offered as SCRN 2203."
1417,"CPLT 7010 Research Methods and Bibliography (3)
Instruction in methods of research; specific projects in bibliography geared toward scholarship in comparative literature."
1418,"CPLT 7020 History and Theory of Criticism (3)
Historical survey of major works in literary theory from the classical through the modern period designed to ground subsequent work in criticism."
1419,"CPLT 7120 Topics in Theory of Criticism (3)
May be taken for a max. of 9 hrs. of credit when topics vary. Study of a particular school of critical thought as it applies to specifically comparative literary scholarship."
1420,"CPLT 7130 Topics in Comparative Literature (3)
May be taken for a max. of 9 hrs. of credit when topics vary. Basic techniques of studying a literary topic through the comparative method; examples taken from different national literary traditions."
1421,"CPLT 7140 Topics in the Interdisciplinary Study of Literature (3)
May be taken for a max. of 9 hrs. of credit when topics vary. Relationship between literature and other domains, such as art, religion and film."
1422,"CPLT 7150 Performance, Film & Media (3)
May be taken for 9 sem. hrs. of credit when topics vary. Interdisciplinary course in Comparative Literature which addresses performance practices, theories, and texts in cinema, theater, and other forms of media such as television in three national linguistic and literary traditions."
1423,"CPLT 7160 Atlantic Studies (3)
Prereq.: Permission of the program director or instructor required. May be taken for a max. of 9 sem. hrs. of credit when topics vary. Interdisciplinary course in Comparative Literature which addresses the circulation of populations, cultures, and commodities between Europe and the Americas from transnational perspective."
1424,"CPLT 7170 Methodology for Teaching World Literature (3)
Prereq.: Permission of the program director and instructor required. May be taken for a max. of 9 sem. hrs. when topics vary. Survey of comparative literature history and pedagogical techniques to design, develop, and teach world literature courses."
1425,"CPLT 8000 Thesis Research (1-12 per sem.)
“S”/”U”grading."
1426,"CPLT 8900 Independent Study (1-3)
May be taken for a max. of 3 hrs. in the master’s program and 9 hrs. in the doctoral program."
1427,"CPLT 9000 Dissertation Research (1-12 per sem.)
“S”/”U”grading."
1428,"CSC 1100 Computers in Society (3)
Prereq.: credit in MATH 1021 or registration in MATH 1023. Credit will not be given for this course and ISDS 1100 or ISDS 1101 or ISDS 1102 or EXST 2000. 2 hrs. lecture; 2 hrs. lab. Introduction to computers, their applications and impact on people and social institutions; the Internet, e-mail, news groups, ftp, telnet, World Wide Web, multimedia, word processing, spreadsheets, databases."
1429,"CSC 1240 Statistics and Graphics with MATLAB (3)
This is an Integrative Learning Core (ILC) course that awards general education credit. Prereq.: MATH 1021 or placement in MATH 1022, MATH 1023, MATH 1431, MATH 1550 or MATH 1551. Credit will not be given for both this course and CSC 2262 or CSC 2533 or OCS 2011. Not for degree credit for computer science majors. 2 hrs. lecture; 2 hrs. lab. Introduction to MATLAB programming with applications in statistics and graphics."
1430,"CSC 1250 Introduction to Programming (3)
Credit will not be given for this course and CSC 1253 or CSC 1350. Fundamentals of problem solving, program design, algorithms and programming using a high-level language."
1431,"CSC 1253 Computer Science I with C++ (3)
Prereq.: credit or registration in MATH 1550 or credit in MATH 1431. Credit will not be given for both this course and CSC 1250 or CSC 1350.
Fundamentals of algorithm development, program design and structured programming using an object-oriented language."
1432,"CSC 1254 Computer Science II with C++ (3)
Prereq.: CSC 1253; credit or registration in MATH 1550. Credit will not be given for both this course and CSC 1351. Develops solutions to problems using an object-oriented approach and emphasizes the concepts of recursion; dynamic memory; data structures (lists, stacks, queues, trees); exception handling."
1433,"CSC 1350 Computer Science I for Majors (4)
Prereq.: credit or registration in MATH 1022 or MATH 1023 or MATH 1550 or MATH 1551 or MATH 1552.  Credit will not be given for both this course and CSC 1250 or CSC 1253. 3 hrs. lecture; 3 hrs. lab. Fundamentals of algorithm development, program design and structured programming using an object-oriented language."
1434,"CSC 1351 Computer Science II for Majors (4)
Prereq.: CSC 1350; credit or registration in MATH 1550. Credit will not be given for both this course and CSC 1254. 3 hrs. lecture; 3 hrs. lab. Develops solutions to problems using an object-oriented approach and emphasizes the concepts of recursion; dynamic memory; data structures (lists, stacks, queues, trees); exception handling."
1435,"CSC 2259 Discrete Structures (3)
Prereq.: credit or registration in CSC 1254 or CSC 1351 and MATH 1552. Set algebra including mappings and relations; algebraic structures including semigroups and groups; elements of the theory of directed and undirected graphs; Boolean algebra and propositional logic; these structures applied to various areas of computer science."
1436,"CSC 2262 Numerical Methods (3)
Prereq.: CSC 1254 or CSC 1351, and credit or registration in MATH 2090. Credit will be given for only one of the following: CSC 1240, 2262, CSC 2533 or IE 2060. Computer- oriented methods for solving numerical problems in science and engineering; numerical solutions to systems of simultaneous linear equations, nonlinear algebraic equations (root solving), differentiation and integration, ordinary differential equations, interpolation and curve fitting."
1437,"CSC 2362 Introduction to Cybersecurity and Cyber Defense (3)
Prereq.: CSC 1350 or CSC 1253 or equivalent. Broad overview and basic principles of cybersecurity theory and practice: threats, vulnerabilities, and mitigation strategies."
